store_id,inventory_id,title,rating,rental_rate,replacement_cost
1,1,"ACADEMY DINOSAUR",PG,0.99,20.99
1,2,"ACADEMY DINOSAUR",PG,0.99,20.99
1,3,"ACADEMY DINOSAUR",PG,0.99,20.99
1,4,"ACADEMY DINOSAUR",PG,0.99,20.99
1,16,"AFFAIR PREJUDICE",G,2.99,26.99
1,17,"AFFAIR PREJUDICE",G,2.99,26.99
1,18,"AFFAIR PREJUDICE",G,2.99,26.99
1,19,"AFFAIR PREJUDICE",G,2.99,26.99
1,26,"AGENT TRUMAN",PG,2.99,17.99
1,27,"AGENT TRUMAN",PG,2.99,17.99
1,28,"AGENT TRUMAN",PG,2.99,17.99
1,32,"AIRPLANE SIERRA",PG-13,4.99,28.99
1,33,"AIRPLANE SIERRA",PG-13,4.99,28.99
1,41,"ALABAMA DEVIL",PG-13,2.99,21.99
1,42,"ALABAMA DEVIL",PG-13,2.99,21.99
1,43,"ALABAMA DEVIL",PG-13,2.99,21.99
1,46,"ALADDIN CALENDAR",NC-17,4.99,24.99
1,47,"ALADDIN CALENDAR",NC-17,4.99,24.99
1,48,"ALADDIN CALENDAR",NC-17,4.99,24.99
1,49,"ALADDIN CALENDAR",NC-17,4.99,24.99
1,53,"ALAMO VIDEOTAPE",G,0.99,16.99
1,54,"ALAMO VIDEOTAPE",G,0.99,16.99
1,55,"ALAMO VIDEOTAPE",G,0.99,16.99
1,56,"ALAMO VIDEOTAPE",G,0.99,16.99
1,60,"ALASKA PHANTOM",PG,0.99,22.99
1,61,"ALASKA PHANTOM",PG,0.99,22.99
1,62,"ALASKA PHANTOM",PG,0.99,22.99
1,71,"ALIEN CENTER",NC-17,2.99,10.99
1,72,"ALIEN CENTER",NC-17,2.99,10.99
1,77,"ALLEY EVOLUTION",NC-17,2.99,23.99
1,78,"ALLEY EVOLUTION",NC-17,2.99,23.99
1,81,"ALONE TRIP",R,0.99,14.99
1,82,"ALONE TRIP",R,0.99,14.99
1,83,"ALONE TRIP",R,0.99,14.99
1,87,"ALTER VICTORY",PG-13,0.99,27.99
1,88,"ALTER VICTORY",PG-13,0.99,27.99
1,89,"ALTER VICTORY",PG-13,0.99,27.99
